Document ID,Document Title,Family ID,Family Title,Family Summary,Collection Title(s),Collection Description(s),Document Variant,Document Content URL,Accessibility,Pages,Language,Source,Geography ISOs,Geographies,First event in timeline,Last event in timeline,Full timeline of events (types),Full timeline of events (dates),Date Added to System,Last Modified on System,Internal Document ID,Internal Family ID,Internal Corpus ID,Internal Collection ID(s),Document Role,Document Type,Category,Framework,Topic/Response,Hazard,Sector,Keyword,Instrument,Author,Author Type,Document URL,Family URL,first_event_year
anp-ordinance-no-249-2000-regulation-on-oil-and-natural-gas-losses_3004,"ANP Ordinance no. 249, 2000, Regulation on oil and natural gas losses",anp-ordinance-no-249-2000-regulation-on-oil-and-natural-gas-losses_8f60,"ANP Ordinance no. 249, 2000, Regulation on oil and natural gas losses","<p>PORTARIA ANP N┬║ 249, DE 1┬║.11.2000 - DOU 3.11.2000</p>
<p>The regulation defines the rules for natural gas flaring. These include:</p>
<p>-	The separation of cases in which the flared gas is subject to royalties and the ones in which it is not.</p>
<p>-	The definition of the circumstances where natural gas can be flared.</p>
<p>-	The reasons that concede exemption or not of the need for authorization for flaring.</p>
<p>The limits are defined by the ANP (National Agency of Petroleum, Natural Gas and Biofuels).</p>",,,Original Language,https://www.ibama.gov.br/sophia/cnia/legislacao/AGENCIAS/ANP/PT0249-011100.PDF,"Hmmmů can't reach this page
www.ibama.gov.br took too long to respond",,Portuguese,CPR,BRA,Brazil,2002-01-01 00:00:00+00:00,01/01/2002,Passed/Approved,01/01/2002,24/09/2024,15/05/2025,CPR.document.i00002061.n0000,CPR.family.i00002060.n0000,CPR.corpus.i00000001.n0000,,Summary,Regulation,Legislative,,Mitigation,,Industry;Energy,Mitigation,"Standards, obligations and norms|Regulation",,,,,2002
federal-law-15-042-2024_7b8f,Federal Law 15.042/2024,federal-law-15-042-2024-on-the-brazilian-greenhouse-gas-emissions-trading-system-sbce_f7fa,Federal Law 15.042/2024 on the Brazilian Greenhouse Gas Emissions Trading System (SBCE),"<p>This law establishes the Brazilian Greenhouse Gas Emissions Trading System (SBCE). It applies to activities, sources and facilities located in the national territory that emit or may emit greenhouse gases (GHG), under the responsibility of operators, individuals or legal entities, with the exception of primary agricultural production, as well as assets, improvements and infrastructure within rural properties directly associated with it, which are not subject to obligations imposed under the SBCE. Indirect emissions from the production of agricultural inputs or raw materials are also not considered.</p>",,,Original Language,https://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=12/12/2024&jornal=515&pagina=4,"Hmmmů can't reach this page
It looks like the webpage at https://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=12/12/2024&jornal=515&pagina=4 might be having issues, or it may have moved permanently to a new web address.",,Portuguese,CCLW,BRA,Brazil,2024-12-11 00:00:00+00:00,11/12/2024,Passed/Approved,11/12/2024,15/04/2025,16/04/2025,CCLW.document.i00003259.n0000,CCLW.family.i00003258.n0000,CCLW.corpus.i00000001.n0000,,Main,Law,Legislative,,Mitigation,,Economy-wide,Trading Scheme;GHG,,,,,,2024
disaster-management-regulations-2016_b8d1,"Disaster Management Regulations, 2016",disaster-management-act-no-17-of-2015_be8e,Disaster Management Act (No. 17 of 2015),"<p>This Act provides guidelines and measures for disaster prevention, preparedness, mitigation and response measures and establishes the Disaster Management Agency and the Disaster Management Fund. The Agency is established as a body corporate and shall be managed by the Disaster Management Council. The Act also designates Regional, District, Ward and Village Disaster Management Committees. The Agency shall, with approval of the Minister, prepare and maintain the Disaster Management Plan.</p>
",,,Original Language,https://drmims.sadc.int/sites/default/files/document/2020-03/Tanzania_DM%20ACT%20REGULATIONS%202016.pdf,"Hmmmů can't reach this page
drmims.sadc.int took too long to respond",,English,CCLW,TZA,Tanzania,2015-05-11 00:00:00+00:00,01/02/2017,Passed/Approved;Entered Into Force,2015-05-11;2017-02-01,22/11/2024,25/11/2024,CCLW.document.i00001617.n0000,CCLW.family.9222.0,CCLW.corpus.i00000001.n0000,,Supporting Legislation,Regulation,Legislative,,Adaptation;Disaster Risk Management,,,Adaptation,Capacity building|Governance;Institutional mandates|Governance,,,,,2015
full-text-act_8042,Full text - Act,disaster-risk-management-and-climate-change-act_1110,Disaster Risk Management and Climate Change Act,"<p>This Act sets out Kiribati's overall approach addressing climate change and disaster risk management. The Act is interpreted is accordance with nine principles, including to ""ensure local ownership and that no one is left behind, priority should be given to community engagement, participation and empowerment which is inclusive of vulnerable groups and all people"".&nbsp;</p>
<p>The Act establishes the Kiribati National Expert Group on Climate Change and Disaster Risk Management. It is a multi-stakeholder coordination and technical advisory body for disaster risk management and climate change at the national level.&nbsp;</p>
<p>Article 13 assigns responsibilities to specific government ministries and agencies. Local councils are also required to form Island Disaster Committees or Taskforces.&nbsp;</p>
<p>The Act also establishes a Disaster and Climate Change Rapid Resposne Fund. Compensation mechanisms are also set out in Article 34.&nbsp;</p>
",,,Original Language,https://www.president.gov.ki/images/Gazettes/2020/Disaster_Risk_Management_and_Climate_Change_Act_pdf.pdf,Success - Scanned PDF,,English,CCLW,KIR,Kiribati,2020-02-12 00:00:00+00:00,12/02/2020,Entered Into Force,12/02/2020,18/09/2024,29/10/2024,CCLW.document.i00001535.n0000,CCLW.family.i00001502.n0000,CCLW.corpus.i00000001.n0000,,Main,Act,Legislative,Adaptation;Mitigation;Drm/Drr,Mitigation;Adaptation;Disaster Risk Management,,Economy-wide;Cross Cutting Area,Governance;Institutions / Administrative Arrangements;Disaster Risk Management,,,,,,2020
law-no-121-on-offshore-wind-energy_a27d,Law no. 121 on offshore wind energy,law-no-121-on-offshore-wind-energy_03d1,Law No. 121 on offshore wind energy,"<p>In May 2024, Romania adopted its first offshore wind energy law. The law creates the legislative framework to develop offshore wind projects in the Romanian Black Sea.</p>
",,,,https://www.cdep.ro/pls/legis/legis_pck.htp_act?ida=203222,"Hmmmů can't reach this page
www.cdep.ro took too long to respond",,Romanian,CCLW,ROU,Romania,2024-04-30 00:00:00+00:00,30/04/2024,Entered Into Force,30/04/2024,31/07/2024,29/10/2024,CCLW.document.i00001425.n0000,CCLW.family.i00001424.n0000,CCLW.corpus.i00000001.n0000,,Main,Law,Legislative,,Mitigation,,Energy,Renewables;Energy Transition;Wind,,,,,,2024
information-paper-incorporating-an-emissions-reduction-objective-into-the-national-energy-objectives_9d41,Information paper: Incorporating an emissions reduction objective into the national energy objectives,statutes-amendment-national-energy-laws-emissions-reduction-objectives-act-2023_579d,Statutes Amendment (National Energy Laws) (Emissions Reduction Objectives) Act 2023,"<p>This Act amends the National Electricity (South Australia) Act 1996, the National Energy Retail Law (South Australia) Act 2011 and the National Gas (South Australia) Act 2008. It amends the statutory objective of all three Acts to require national authorities to undertake their obligations in a way that gives respect to emissions reduction targets and associated climate targets for participating jurisdictions (including both national and subnational governments). A government memorandum explaining priority rule changes to give effect to the objective is also included with this entry.</p>
<p></p>
",,,Original Language,https://www.energy.gov.au/sites/default/files/2023-06/Incorporating%20an%20emissions%20reduction%20objective%20into%20the%20national%20energy%20objectives%20-%20Information%20Paper.pdf,Success - Direct PDF,15 pages,English,CCLW,AUS,Australia,2023-09-21 00:00:00+00:00,21/09/2023,Passed/Approved,21/09/2023,22/07/2024,29/10/2024,CCLW.document.i00001377.n0000,CCLW.family.i00001375.n0000,CCLW.corpus.i00000001.n0000,,Supporting Documentation,"Publication,Report",Legislative,,Mitigation,,Energy,,,,,,,2023
the-environment-and-climate-adaptation-levy-act-2015-revised-to-1-st-april-2022_9224,The Environment and Climate Adaptation Levy Act 2015 [Revised to 1 st April 2022],environment-and-climate-adaptation-levy-act-2015_07fd,Environment and Climate Adaptation Levy Act 2015,"<p><span style=""color: rgb(26,32,44);background-color: rgb(255,255,255);font-size: medium;"">The act No.36/2017 amends the Environmental Levy Act of 2015 by deleting the notion of Environmental Levy and substituting it with 'Environmental and Climate Adapation Levy'.  The act establishes environment and climate adaptation levies on prescribed services, items and income. </span></p>
<p>The act was amended by the Plastic Bags Regulations 2017 (L.N. No. 61 of 2017), made under section 17 of the Environment and Climate Adaptation Levy Act 2015, which introduce an Environment and Climate Adaptation Levy charged on plastic bags. This Charge must be collected by a cashier at the point at which a plastic bag is provided by the business to a consumer. It shall then be paid to the Chief Executive Officer and Commissioner of Inland Revenue (CEO).</p>
<p></p>
<p></p>
",,,,https://www.frcs.org.fj/wp-content/uploads/2022/05/Environment-and-Climate-Adaptation-Levy-Act-2015-Revised-1-April-2022.pdf,Success - Direct PDF,21 pages,English,CCLW,FJI,Fiji,2016-01-01 00:00:00+00:00,01/01/2022,Amended;Passed/Approved;Amended;Amended,2017-07-14;2016-01-01;2017-08-01;2022-01-01,04/05/2024,22/11/2024,CCLW.document.i00001112.n0000,CCLW.family.9146.0,CCLW.corpus.i00000001.n0000,,Summary,Summary,Legislative,,Adaptation,,Transport,Adaptation,Tax incentives|Economic,,,,,2016
regulation-on-environmental-impact-assessment_2532,Regulation on Environmental Impact Assessment ,regulation-on-environmental-impact-assessment_820d,Regulation on Environmental Impact Assessment ,"<p>This document seeks to regulate the procedures by which Environmental Impact Assessments (EIAs) are created and evaluated, as well as the principles undergirding them. It is listed as one of the relevant laws contributing to climate change mitigation in TurkeyÔÇÖs 2023 Nationally Determined Contributions (NDC).&nbsp;&nbsp;</p>
",,,Original Language,https://faolex.fao.org/docs/pdf/tur214574.pdf ,Success - Direct PDF,11 pages,Turkish,CCLW,TUR,T├╝rkiye,2022-07-29 00:00:00+00:00,29/07/2022,Passed/Approved;Entered Into Force,2022-07-29;2022-07-29,24/01/2024,29/10/2024,CCLW.document.i00000404.n0000,CCLW.family.i00000403.n0000,CCLW.corpus.i00000001.n0000,,Main,Regulation,Legislative,,,,Environment,Environmental Impact Assessment,,,,,,2022
regulation-on-fluorinated-greenhouse-gases_c0c9,Regulation on Fluorinated Greenhouse Gases ,regulation-on-florinated-greenhouse-gases_4eb8,Regulation on Florinated Greenhouse Gases ,"<p>This regulation implements the 1983 Environmental Law and Law No. 4990 on ratifying the United Nations Framework Convention on Climate Change. It aims to regulate the emission of fluorinated greenhouse gases.&nbsp;&nbsp;</p>
",,,Original Language,https://faolex.fao.org/docs/pdf/tur214678.pdf  ,Success - Direct PDF,10 pages,Turkish,CCLW,TUR,T├╝rkiye,2022-06-29 00:00:00+00:00,29/06/2022,Passed/Approved;Entered Into Force,2022-06-29;2022-06-29,24/01/2024,29/10/2024,CCLW.document.i00000400.n0000,CCLW.family.i00000399.n0000,CCLW.corpus.i00000001.n0000,,Main,Regulation,Legislative,,,,Environment,Air Pollution,,,,,,2022
regulation-on-the-conditions-of-access-to-the-carbon-dioxide-transport-network-procedure-and-criteria-for-acceptance-of-carbon-dioxide-flows_8757,"Regulation on the conditions of access to the carbon dioxide transport network, procedure and criteria for acceptance of carbon dioxide flows",regulation-on-the-conditions-of-access-to-the-carbon-dioxide-transport-network-procedure-and-criteria-for-acceptance-of-carbon-dioxide-flows_f62b,"Regulation on the Conditions of Access to the Carbon Dioxide Transport Network, Procedure and Criteria for Acceptance of Carbon Dioxide Flows ","<p>This regulation determines the acceptance conditions of carbon dioxide flows and of access to its transport network. It is based on the provisions of Montenegro's Climate Change Laws.&nbsp;&nbsp;</p>
",Montenegro's Climate Change Law Provisions ,"The regulations and decrees that make up this collection are based on the provisions of MontenegroÔÇÖs Climate Change Law, or Montenegro's Law on Protection from the Negative Impacts of Climate Change. ",Original Language,https://faolex.fao.org/docs/pdf/mne200742.pdf ,Success - Direct PDF,2 pages,Serbo-Croatian,CCLW,MNE,Montenegro,2021-02-13 00:00:00+00:00,13/02/2021,Entered Into Force,13/02/2021,07/01/2024,29/10/2024,CCLW.document.i00000215.n0000,CCLW.family.i00000132.n0000,CCLW.corpus.i00000001.n0000,CCLW.collection.i00000126.n0000,Main,Regulation,Legislative,,Mitigation,,,,,,,,,2021
2023-budget_dec2,2023 Budget,bipartisan-budget-act-of-2018-h-r-1892_211e,Bipartisan Budget Act of 2018 (H.R.1892),"<p>This Act is an extensive piece of legislation dealing with budget and spending at the federal level. It notably <br><br>An increased tax credit for carbon capture projects is set up in Title II on miscellaneous provisions, SEC. 41119 on enhancement of carbon dioxide sequestration credit and SEC. 45 Q on credit for carbon oxide sequestration. This credit concerns traditional CCS, direct air capture and carbon monoxide capture.&nbsp;</p>
",,,,https://www.whitehouse.gov/wp-content/uploads/2022/03/budget_fy2023.pdf,"This www.whitehouse.gov page canĺt be found
No webpage was found for the web address: https://www.whitehouse.gov/wp-content/uploads/2022/03/budget_fy2023.pdf",,English,CCLW,USA,United States,2018-02-09 00:00:00+00:00,01/03/2022,Passed/Approved;Amended,2018-02-09;2022-03-01,30/11/2023,29/10/2024,CCLW.legislative.9721.6502,CCLW.family.9721.0,CCLW.corpus.i00000001.n0000,,Main,Law,Legislative,,Adaptation;Mitigation,,Energy;Industry,Carbon Pricing;Carbon Capture and Storage,Tax incentives|Economic,,,,,2018
law-no-72021-129b,Law No. 7/2021,law-no-7-on-the-harmonisation-of-tax-regulations-0646,Law No. 7 on the Harmonisation of Tax Regulations ,"<p>Law No. 7 on the Harmonisation of Tax Regulations contains provisions on the carbon pricing instruments in Indonesia, including a carbon tax. Article 13 stipulates that IndonesiaÔÇÖs carbon tax has been introduced to control greenhouse gas (GHG) emissions and to support the achievement of the emissions reduction targets outlined in IndonesiaÔÇÖs NDC. To support the implementation of the carbon tax, a carbon tax roadmap will be produced, containing an emissions reduction strategy that reiterates IndonesiaÔÇÖs commitment to achieving net zero GHG emissions by 2060, will identify priority sectors for taxation (such as the forestry sector which accounts for 97% of IndonesiaÔÇÖs NDC emissions reduction target) and identify sectoral targets. Article 13 further outlines the timescales along which this carbon tax will be implemented and outlines plans for expanding carbon pricing in the future. The Law states that the carbon tax rate will be made higher than or equal to the domestic carbon price.</p>",,,,https://jdih.setkab.go.id/PUUdoc/176559/Salinan_UU_Nomor_7_Tahun_2021.pdf,"Hmmmů can't reach this page
jdih.setkab.go.idĺs DNS address could not be foundů diagnosing the problem now.",,Indonesian,CCLW,IDN,Indonesia,2021-10-29 00:00:00+00:00,29/10/2021,Entered Into Force,29/10/2021,30/11/2023,29/10/2024,CCLW.legislative.rtl_89.rtl_317,CCLW.family.rtl_89.0,CCLW.corpus.i00000001.n0000,,Main,Law,Legislative,,Mitigation,,Energy;Cross Cutting Area,Carbon Pricing;Tax;Net Zero,Carbon pricing & emissions trading|Economic,,,,,2021
law-no-155-of-july-24-2020-for-the-modification-and-completion-of-the-law-on-electricity-and-natural-gas-no-1232012-and-regarding-the-modification-and-completion-of-other-normative-acts-b4f0,"Law no. 155 of July 24, 2020 for the modification and completion of the Law on electricity and natural gas no. 123/2012 and regarding the modification and completion of other normative acts",law-no-123-of-july-10-2012-of-electricity-and-natural-gas_d3a4,"Law no. 123 of July 10, 2012 of electricity and natural gas","The law established a legal framework for establishing the free functioning of the National Energy Regulatory authority (ANRE, which replaced the Romanian National Energy Conservation Authority) to regulate electricity and heat production and its use to enable optimal use of primary energy sources, ensure availability and affordability, safety, quality and environmental protection based on the National Energy Strategy.It also established a framework for cogeneration, diversification of energy resources, transparency of tariffs prices and taxes, promotion of renewable energy and reduction in consumption.<br><br>The law was amended on May 19, 2020, by Government Emergency Ordinance no. 74/2020 to expand the possibility of contracting power purchase agreements. This Ordinance was motivated by the desire to improve the uptake of renewable energy in the country.<br><br>Law no. 155 of July 27, 2020, amends and supplements Law no. 123/2012 and other normative acts. It notably sets the legal framework for licensing around hydrogen and amend tariffs rules.<br><br>Law no. 290/2020 amends the law to transpose EU Directive 2019/692 (amending Directive 2009/73/EC).",,,,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/Legea_155_2020%20%281%29.pdf,Success - Scanned PDF,17 pages,Romanian,CCLW,ROU,Romania,2012-07-19 00:00:00+00:00,27/07/2020,Passed/Approved;Amended;Amended,2012-07-19;2020-07-27;2020-05-19,30/11/2023,29/10/2024,CCLW.legislative.1582.rtl_65,CCLW.family.1582.0,CCLW.corpus.i00000001.n0000,,Amendment,Law,Legislative,,Mitigation,,Energy,Institutions / Administrative Arrangements;Energy Supply;Energy Demand;Renewables,"Subsidies|Economic;Processes, plans and strategies|Governance",,,,,2012
greenhouse-gas-reduction-and-management-act_2a69,Greenhouse Gas Reduction and Management Act,greenhouse-gas-reduction-and-management-act_1357,Climate Change Response Act,"<p>This Act amends and renames the Greenhouse Gas Reduction and Management Act 2015. This Act establishes Taiwan's goal to achieve net zero emissions by 2050 and sets out requirements to formulate decarbonisation and adaptation strategies. The Act also defines a just transition and requires competent authorities to consult with communities that are impacted by the transition, establish national just transition action programs and allocate funds towards such plans.&nbsp;</p>
<p>This Act prescribes multiple decarbonisation measures, including a cap-and-trade system, carbon levies for domestic emission sources, subsidies and grants to incentivise green technologies, requirements to label carbon footprint on products, and a tax on imports of carbon intensive products designated by regulatory authorities. There are provisions setting out corresponding penalties for non-compliance.&nbsp;</p>
<p>This Act also establishes a GHG Management Fund, which is derived multiple sources, including the carbon levies and the state's budget.&nbsp;</p>
",,,,https://adapt.epa.gov.tw/eng/dispPageBox/files/741.pdf,"Hmmmů can't reach this page
adapt.epa.gov.twĺs DNS address could not be foundů diagnosing the problem now. Check if there is a typo in adapt.epa.gov.tw.",,English,CCLW,TWN,Taiwan,2015-07-01 00:00:00+00:00,15/02/2023,Passed/Approved;Amended,2015-07-01;2023-02-15,30/11/2023,29/10/2024,CCLW.legislative.8616.1517,CCLW.family.8616.0,CCLW.corpus.i00000001.n0000,,Previous Version,Act,Legislative,Adaptation;Mitigation,Adaptation;Mitigation,,Agriculture;Environment;LULUCF;Transport,Adaptation;Carbon Pricing;Transport;Institutions / Administrative Arrangements;Energy Supply;Research And Development;REDD+ And LULUCF;Energy Demand,"Tax incentives|Economic;Nature based solutions and ecosystem restoration|Direct Investment;Capacity building|Governance;Processes, plans and strategies|Governance",,,,,2015
